date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:55	123/123	---M--	200	added ('OK')	text/plain	etag:%225ec2ff30-7b%22	https://www.fundicaofenix.com.br/robots.txt		(from )
11:07:55	242150/242150	---MC-	200	added ('OK')	text/html	date:Fri,%2021%20May%202021%2014:07:56%20GMT	https://www.fundicaofenix.com.br/	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/index.html	(from )
11:07:56	94233/94233	---M--	200	added ('OK')	image/jpeg	etag:%225daa27b2-17019%22	https://www.fundicaofenix.com.br/imagens/bg.jpg	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/imagens/bg.jpg	(from )
11:07:56	3096/3096	---M--	200	added ('OK')	image/png	etag:%225daa27b2-c18%22	https://www.fundicaofenix.com.br/imagens/icones/tweet.png	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/imagens/icones/tweet.png	(from )
11:07:56	215/215	---M--	302	error ('Found')	text/html	date:Fri,%2021%20May%202021%2014:07:57%20GMT	https://www.fundicaofenix.com.br/images-fancy/fancybox_sprite.png	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/images-fancy/fancybox_sprite.2.delayed	(from )
11:07:56	215/215	---M--	302	error ('Found')	text/html	date:Fri,%2021%20May%202021%2014:07:58%20GMT	https://www.fundicaofenix.com.br/images-fancy/fancybox_loading.gif	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/images-fancy/fancybox_loading.3.delayed	(from )
11:07:57	215/215	---M--	302	error ('Found')	text/html	date:Fri,%2021%20May%202021%2014:07:58%20GMT	https://www.fundicaofenix.com.br/images-fancy/blank.gif	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/images-fancy/blank.4.delayed	(from )
11:07:57	215/215	---M--	302	error ('Found')	text/html	date:Fri,%2021%20May%202021%2014:07:58%20GMT	https://www.fundicaofenix.com.br/images-fancy/fancybox_overlay.png	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/images-fancy/fancybox_overlay.5.delayed	(from )
11:07:57	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225daa27b2-2876e%22	https://www.fundicaofenix.com.br/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/fonts/fontawesome-webfont3e6e.eot	(from )
11:07:57	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225daa27b2-2876e%22	https://www.fundicaofenix.com.br/fonts/fontawesome-webfont.eot?	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/fonts/fontawesome-webfontd41d.eot	(from )
11:07:57	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-595359c3d101e%22	https://www.fundicaofenix.com.br/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/fonts/fontawesome-webfont3e6e.html	(from )
11:07:58	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:%225daa27b2-17ee8%22	https://www.fundicaofenix.com.br/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/fonts/fontawesome-webfont3e6e.woff	(from )
11:07:58	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225daa27b2-286ac%22	https://www.fundicaofenix.com.br/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/fonts/fontawesome-webfont3e6e.ttf	(from )
11:07:58	449721/449721	---MC-	200	added ('OK')	image/svg+xml	etag:W/%225daa27b2-6dcb9%22	https://www.fundicaofenix.com.br/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/fonts/fontawesome-webfont3e6e.svg	(from )
11:07:58	8209/8209	---M--	200	added ('OK')	image/png	etag:%225daa27b2-2011%22	https://www.fundicaofenix.com.br/imagens/favicon.png	C:/Meus%20Sites/https___www.fundicaofenix.com.br_/www.fundicaofenix.com.br/imagens/favicon.png	(from )
